Year,Country,Units,Source,Electricity Generation (GWh)
1990,China,GWh,Biomass,NA
1995,China,GWh,Biomass,2897
2000,China,GWh,Biomass,2421
2005,China,GWh,Biomass,5200
2010,China,GWh,Biomass,24839
2015,China,GWh,Biomass,52743
2018,China,GWh,Biomass,90608
1990,India,GWh,Biomass,NA
1995,India,GWh,Biomass,NA
2000,India,GWh,Biomass,1278
2005,India,GWh,Biomass,4732
2010,India,GWh,Biomass,14159
2015,India,GWh,Biomass,25382
2019,India,GWh,Biomass,44231
1990,Japan,GWh,Biomass,8721
1995,Japan,GWh,Biomass,9718
2000,Japan,GWh,Biomass,9832
2005,Japan,GWh,Biomass,14315
2010,Japan,GWh,Biomass,15174
2015,Japan,GWh,Biomass,18626
2019,Japan,GWh,Biomass,17564
1990,Russian Federation,GWh,Biomass,37
1995,Russian Federation,GWh,Biomass,29
2000,Russian Federation,GWh,Biomass,22
2005,Russian Federation,GWh,Biomass,41
2010,Russian Federation,GWh,Biomass,36
2015,Russian Federation,GWh,Biomass,30
2019,Russian Federation,GWh,Biomass,92
1990,United States,GWh,Biomass,71039
1995,United States,GWh,Biomass,43876
2000,United States,GWh,Biomass,47816
2005,United States,GWh,Biomass,48453
2010,United States,GWh,Biomass,52436
2015,United States,GWh,Biomass,61640
2019,United States,GWh,Biomass,55451
1990,World,GWh,Biomass,105435
1995,World,GWh,Biomass,95068
2000,World,GWh,Biomass,113780
2005,World,GWh,Biomass,169500
2010,World,GWh,Biomass,277740
2015,World,GWh,Biomass,415631
2018,World,GWh,Biomass,518467
1990,China,GWh,Coal,469762
1995,China,GWh,Coal,770500
2000,China,GWh,Coal,1079310
2005,China,GWh,Coal,2007302
2010,China,GWh,Coal,3263494
2015,China,GWh,Coal,4133839
2018,China,GWh,Coal,4796126
1990,India,GWh,Coal,191633
1995,India,GWh,Coal,296292
2000,India,GWh,Coal,390233
2005,India,GWh,Coal,478485
2010,India,GWh,Coal,657955
2015,India,GWh,Coal,1032061
2019,India,GWh,Coal,1131661
1990,Japan,GWh,Coal,122686
1995,Japan,GWh,Coal,167916
2000,Japan,GWh,Coal,222608
2005,Japan,GWh,Coal,292875
2010,Japan,GWh,Coal,310913
2015,Japan,GWh,Coal,354054
2019,Japan,GWh,Coal,316393
1990,Russian Federation,GWh,Coal,157032
1995,Russian Federation,GWh,Coal,160528
2000,Russian Federation,GWh,Coal,175615
2005,Russian Federation,GWh,Coal,165451
2010,Russian Federation,GWh,Coal,166094
2015,Russian Federation,GWh,Coal,158550
2019,Russian Federation,GWh,Coal,176787
1990,United States,GWh,Coal,1699648
1995,United States,GWh,Coal,1832537
2000,United States,GWh,Coal,2129498
2005,United States,GWh,Coal,2153956
2010,United States,GWh,Coal,1994194
2015,United States,GWh,Coal,1470997
2019,United States,GWh,Coal,1058637
1990,World,GWh,Coal,4429911
1995,World,GWh,Coal,4993261
2000,World,GWh,Coal,5994185
2005,World,GWh,Coal,7316600
2010,World,GWh,Coal,8662447
2015,World,GWh,Coal,9534199
2018,World,GWh,Coal,10159646
1990,China,GWh,Geothermal,57
1995,China,GWh,Geothermal,110
2000,China,GWh,Geothermal,109
2005,China,GWh,Geothermal,115
2010,China,GWh,Geothermal,125
2015,China,GWh,Geothermal,125
2018,China,GWh,Geothermal,125
1990,India,GWh,Geothermal,NA
1995,India,GWh,Geothermal,NA
2000,India,GWh,Geothermal,NA
2005,India,GWh,Geothermal,NA
2010,India,GWh,Geothermal,NA
2015,India,GWh,Geothermal,NA
2019,India,GWh,Geothermal,NA
1990,Japan,GWh,Geothermal,1741
1995,Japan,GWh,Geothermal,3173
2000,Japan,GWh,Geothermal,3348
2005,Japan,GWh,Geothermal,3226
2010,Japan,GWh,Geothermal,2632
